bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,l proline,16,4.0,4.0,"{""high"":16}","[""252818"",""252819"",""254702"",""254703"",""254704"",""254725"",""254736"",""254737"",""270519"",""294416""]"
external_literature_review_required,lithium,8,4.0,0.0,"{""high"":8}","[""24584"",""25202"",""25208"",""184812"",""219852"",""294004"",""328520"",""328576""]"
external_literature_review_required,activated charcoal,15,3.9375,2.0,"{""moderate"":15}","[""18389"",""75292"",""178360"",""201274"",""221374"",""269271"",""277023"",""329902"",""329903"",""329904""]"
external_literature_review_required,magnolia,10,3.75,3.0,"{""high"":9,""moderate"":1}","[""294805"",""294806"",""294807"",""294808"",""310807"",""310808"",""310809"",""310810"",""329724"",""329725""]"
external_literature_review_required,red clover,10,3.75,2.0,"{""high"":9,""moderate"":1}","[""80059"",""311950"",""311951"",""311952"",""311953"",""328037"",""330426"",""330487"",""330488"",""330489""]"
external_literature_review_required,chicory,14,3.675,2.0,"{""moderate"":14}","[""252517"",""253472"",""253473"",""253474"",""270296"",""306369"",""312684"",""312685"",""312686"",""312687""]"
evidence_exists_identity_or_linkage_failed,PRECLIN_BOSWELLIA,10,3.5,5.0,"{""moderate"":10}","[""311175"",""311176"",""311177"",""311178"",""312866"",""329934"",""330458"",""330459"",""330460"",""330461""]"
external_literature_review_required,andrographis,7,3.5,0.0,"{""high"":6,""low"":1}","[""241710"",""321945"",""327376"",""330204"",""330205"",""330206"",""330207""]"
external_literature_review_required,cayenne,7,3.5,0.0,"{""high"":7}","[""312668"",""312669"",""312670"",""312671"",""330541"",""330542"",""330543""]"
external_literature_review_required,chitosan,10,3.5,1.0,"{""moderate"":10}","[""74394"",""213312"",""252518"",""253476"",""253478"",""253479"",""312688"",""312689"",""312690"",""312691""]"
external_literature_review_required,mangosteen,7,3.5,0.0,"{""high"":7}","[""311025"",""311026"",""311027"",""311028"",""329734"",""329735"",""329736""]"
external_literature_review_required,peppermint,7,3.5,1.0,"{""high"":7}","[""251975"",""311416"",""328014"",""328015"",""330231"",""330232"",""330233""]"
external_literature_review_required,bee pollen,13,3.4125,3.0,"{""moderate"":13}","[""26311"",""77658"",""214787"",""218614"",""218625"",""252422"",""253514"",""253533"",""253535"",""310665""]"
